year,metric,p10,p50,p90
2028,transport_total,1007970.0625,1142652.625,1417749.125
2029,transport_total,994358.5625,1131906.75,1400555.625
2030,transport_total,912689.3125,1149816.75,1403421.125
2031,transport_total,788036.375,1164144.625,1404853.875
2032,transport_total,828871.0,1164144.625,1455718.0
2033,transport_total,811677.4375,1139070.625,1380496.375
2034,transport_total,893346.625,1124742.75,1379063.625
2035,transport_total,900510.625,1131906.75,1361153.75
2036,transport_total,929882.875,1142652.75,1358288.125
2037,transport_total,950658.375,1110414.875,1343960.25
2038,transport_total,977881.4375,1167726.625,1476493.5
2039,transport_total,949225.625,1128324.75,1478642.75
2040,transport_total,923435.3125,1092505.0,1426345.875
2041,transport_total,914838.5625,1049521.25,1399839.25
2042,transport_total,878302.375,1035193.25,1376914.5
2043,transport_total,844631.6875,1035193.1875,1403421.25
2044,transport_total,849646.5,1060267.125,1424913.125
2045,transport_total,820990.625,1071013.0,1418465.5
