"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"СГНЛ"	"LСГНЛ"	"VAL"
"Численность населения на начало периода(Человек)"	"2004 год"	"200412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 518 242"
"Численность населения на начало периода(Человек)"	"2003 год"	"200312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 457 152"
"Численность населения на начало периода(Человек)"	"2007 год"	"200712"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 833 249"
"Численность населения на начало периода(Человек)"	"2002 год"	"200212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 429 331"
"Численность населения на начало периода(Человек)"	"2005 год"	"200512"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 614 651"
"Численность населения на начало периода(Человек)"	"2001 год"	"200112"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 413 399"
"Численность населения на начало периода(Человек)"	"2008 год"	"200812"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 265 935"
"Численность населения на начало периода(Человек)"	"2009 год"	"200912"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 662 919"
"Численность населения на начало периода(Человек)"	"2006 год"	"200612"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 696 520"
"Численность населения на начало периода(Человек)"	"2019 год"	"201912"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"10 740 283"
"Численность населения на начало периода(Человек)"	"2020 год"	"202012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"10 938 652"
"Численность населения на начало периода(Человек)"	"2000 год"	"200012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 397 566"
"Численность населения на начало периода(Человек)"	"2018 год"	"201812"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"10 509 796"
"Численность населения на начало периода(Человек)"	"2022 год"	"202212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"11 991 238"
"Численность населения на начало периода(Человек)"	"2023 год"	"202312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"12 209 896"
